weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
546,"{'top_left': 0, 'top_right': 4, 'bottom_left': 237, 'bottom_right': 305}","{'top_left': 0.0, 'top_right': 0.0035650623885918, 'bottom_left': 0.21122994652406418, 'bottom_right': 0.2718360071301248}","(35.315018315018314, 51.64835164835165)","(0.5350760350760351, 0.7708709201246515)","(84.02286358330315, 328.11321767365723)","(0.018171034511960022, 0.07309271946394681)"
566,"{'top_left': 0, 'top_right': 24, 'bottom_left': 237, 'bottom_right': 305}","{'top_left': 0.0, 'top_right': 0.0213903743315508, 'bottom_left': 0.21122994652406418, 'bottom_right': 0.2718360071301248}","(35.35689045936396, 50.88339222614841)","(0.5357104615055146, 0.7594536153156479)","(97.09947683202437, 316.61114510107507)","(0.020999021806233642, 0.07053043998687349)"
458,"{'top_left': 32, 'top_right': 0, 'bottom_left': 231, 'bottom_right': 195}","{'top_left': 0.05194805194805195, 'top_right': 0.0, 'bottom_left': 0.375, 'bottom_right': 0.31655844155844154}","(20.50655021834061, 43.37336244541485)","(0.4768965167055956, 0.7886065899166336)","(82.86278389046737, 103.7041055662554)","(0.026423081597725565, 0.05356617023050382)"
478,"{'top_left': 38, 'top_right': 6, 'bottom_left': 235, 'bottom_right': 199}","{'top_left': 0.06168831168831169, 'top_right': 0.00974025974025974, 'bottom_left': 0.3814935064935065, 'bottom_right': 0.32305194805194803}","(20.548117154811717, 42.68828451882845)","(0.4778631896467841, 0.7761506276150628)","(90.22710124122477, 99.45688976033334)","(0.028771397079472186, 0.05137236041339532)"
351,"{'top_left': 28, 'top_right': 31, 'bottom_left': 180, 'bottom_right': 112}","{'top_left': 0.05333333333333334, 'top_right': 0.05904761904761905, 'bottom_left': 0.34285714285714286, 'bottom_right': 0.21333333333333335}","(13.21937321937322, 50.458689458689456)","(0.4406457739791073, 0.7312853544737602)","(167.23974643062962, 41.607146045892485)","(0.03413056049604686, 0.043295677467109765)"
371,"{'top_left': 43, 'top_right': 36, 'bottom_left': 180, 'bottom_right': 112}","{'top_left': 0.08190476190476191, 'top_right': 0.06857142857142857, 'bottom_left': 0.34285714285714286, 'bottom_right': 0.21333333333333335}","(13.234501347708894, 48.8167115902965)","(0.4411500449236298, 0.707488573772413)","(205.648346059677, 39.43557515565856)","(0.041969050216260614, 0.04103597830973836)"
447,"{'top_left': 0, 'top_right': 29, 'bottom_left': 142, 'bottom_right': 276}","{'top_left': 0.0, 'top_right': 0.041428571428571426, 'bottom_left': 0.20285714285714285, 'bottom_right': 0.3942857142857143}","(28.49440715883669, 42.25950782997763)","(0.5815185134456468, 0.768354687817775)","(99.52549684949126, 161.80701569999349)","(0.03173644669945512, 0.0647228062799974)"
439,"{'top_left': 0, 'top_right': 36, 'bottom_left': 125, 'bottom_right': 278}","{'top_left': 0.0, 'top_right': 0.05194805194805195, 'bottom_left': 0.18037518037518038, 'bottom_right': 0.40115440115440115}","(23.396355353075172, 48.58086560364465)","(0.5706428134896383, 0.7473979323637638)","(136.64892772453445, 105.01374525869004)","(0.03137027725540276, 0.05953160162057258)"
329,"{'top_left': 0, 'top_right': 61, 'bottom_left': 112, 'bottom_right': 156}","{'top_left': 0.0, 'top_right': 0.09902597402597403, 'bottom_left': 0.18181818181818182, 'bottom_right': 0.2532467532467532}","(23.559270516717326, 42.14589665653495)","(0.547890012016682, 0.7662890301188173)","(126.00303027503442, 106.90302196025534)","(0.04017953771525332, 0.05521850307864429)"
359,"{'top_left': 0, 'top_right': 91, 'bottom_left': 112, 'bottom_right': 156}","{'top_left': 0.0, 'top_right': 0.14772727272727273, 'bottom_left': 0.18181818181818182, 'bottom_right': 0.2532467532467532}","(24.35933147632312, 40.270194986072426)","(0.5664960808447237, 0.732185363383135)","(154.58159076977987, 107.37227364778362)","(0.049292599097506336, 0.05546088514864856)"
294,"{'top_left': 0, 'top_right': 48, 'bottom_left': 97, 'bottom_right': 149}","{'top_left': 0.0, 'top_right': 0.09108159392789374, 'bottom_left': 0.1840607210626186, 'bottom_right': 0.2827324478178368}","(20.39455782312925, 46.625850340136054)","(0.6180169037311894, 0.7643582022973123)","(157.17973992318016, 92.36813364801704)","(0.0408896305731478, 0.0799032297993227)"
272,"{'top_left': 0, 'top_right': 0, 'bottom_left': 140, 'bottom_right': 132}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.26666666666666666, 'bottom_right': 0.25142857142857145}","(14.165441176470589, 50.3860294117647)","(0.47218137254901965, 0.7302323103154305)","(65.67083423442907, 50.78512921712803)","(0.01340221106825083, 0.052846128217615015)"
236,"{'top_left': 0, 'top_right': 0, 'bottom_left': 119, 'bottom_right': 117}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2132616487455197, 'bottom_right': 0.20967741935483872}","(17.377118644067796, 51.80508474576271)","(0.4964891041162227, 0.8492636843567658)","(55.97895719620799, 86.84506966388967)","(0.01456268397403954, 0.06701008461719882)"
305,"{'top_left': 11, 'top_right': 1, 'bottom_left': 187, 'bottom_right': 106}","{'top_left': 0.022222222222222223, 'top_right': 0.00202020202020202, 'bottom_left': 0.37777777777777777, 'bottom_right': 0.21414141414141413}","(11.39344262295082, 46.87868852459017)","(0.39287733182589035, 0.7212105926860026)","(97.4180704111798, 27.84520290244558)","(0.022364111664641827, 0.030939114336050642)"
217,"{'top_left': 0, 'top_right': 0, 'bottom_left': 104, 'bottom_right': 113}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.2857142857142857, 'bottom_right': 0.31043956043956045}","(12.894009216589861, 45.3963133640553)","(0.49592343140730233, 0.8253875157100964)","(36.478880417932004, 32.140839686551)","(0.01163229605163648, 0.04408894332860219)"
333,"{'top_left': 0, 'top_right': 0, 'bottom_left': 116, 'bottom_right': 217}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.1969439728353141, 'bottom_right': 0.3684210526315789}","(20.35135135135135, 48.705705705705704)","(0.550036523009496, 0.7984541918968148)","(86.21969717465213, 84.43811378946515)","(0.022429681887266423, 0.058475148053646224)"
